model,data,threshold,accuracy,recall,precision,f1,auc_roc,auc_pr,brier
LogReg_A2,sans_SMOTE_thr=0.5,0.5,0.847877358490566,0.06976744186046512,0.5,0.12244897959183673,0.6973833166219232,0.2898857169836835,0.15212264150943397
LogReg_A2,sans_SMOTE_thr_F1_opt,0.15000000000000002,0.6674528301886793,0.6046511627906976,0.2524271844660194,0.3561643835616438,0.6973833166219232,0.2898857169836835,0.33254716981132076
SVM_A2,sans_SMOTE_thr=0.5,0.5,0.8466981132075472,0.05426356589147287,0.4666666666666667,0.09722222222222222,0.5630127977056851,0.2241665340427784,0.15330188679245282
SVM_A2,sans_SMOTE_thr_F1_opt,0.13,0.38207547169811323,0.7364341085271318,0.1623931623931624,0.2661064425770308,0.5630127977056851,0.2241665340427784,0.6179245283018868
RF_A1,sans_SMOTE_thr=0.5,0.5,0.8431603773584906,0.031007751937984496,0.3333333333333333,0.05673758865248227,0.6471412707140624,0.2338522262225115,0.15683962264150944
RF_A1,sans_SMOTE_thr_F1_opt,0.09,0.4669811320754717,0.8449612403100775,0.20147874306839186,0.3253731343283582,0.6471412707140624,0.2338522262225115,0.5330188679245284
GB_A1,sans_SMOTE_thr=0.5,0.5,0.8349056603773585,0.06201550387596899,0.2962962962962963,0.10256410256410256,0.6722784660003666,0.25903324661550897,0.1650943396226415
GB_A1,sans_SMOTE_thr_F1_opt,0.11,0.5683962264150944,0.751937984496124,0.22505800464037123,0.3464285714285714,0.6722784660003666,0.25903324661550897,0.43160377358490565
XGB_A1,sans_SMOTE_thr=0.5,0.5,0.8337264150943396,0.10077519379844961,0.34210526315789475,0.15568862275449102,0.6422895710019298,0.23655042001679727,0.16627358490566038
XGB_A1,sans_SMOTE_thr_F1_opt,0.09,0.5283018867924528,0.7364341085271318,0.20607375271149675,0.3220338983050847,0.6422895710019298,0.23655042001679727,0.4716981132075472
